TITLE;YEAR;IMDB RATING;USER RATINGS
Ben-Hur;1959;8.1; 231,568
Harry Potter e as Relíquias da Morte - Parte 2;2011;8.1; 822,511
Mad Max: Estrada da Fúria;2015;8.1; 946,889
Sonata de Outono;1978;8.1; 32,596
Menina de Ouro;2004;8.1; 665,693
O Salário do Medo;1953;8.1; 59,040
Conta Comigo;1986;8.1; 385,427
A Criada;2016;8.1; 132,863
Rede de Intrigas;1976;8.1; 154,225
Logan;2017;8.1; 706,513
O Ódio;1995;8.0; 163,802
Rebeldia Indomável;1967;8.0; 172,138
Sempre ao Seu Lado;2009;8.0; 271,465
A Voz do Silêncio;2016;8.0; 68,892
Os Incompreendidos;1959;8.0; 113,323
Gangues de Wasseypur;2012;8.0; 91,805
Platoon;1986;8.0; 400,334
Spotlight: Segredos Revelados;2015;8.0; 450,539
Monstros S.A.;2001;8.0; 865,382
Rebecca, a Mulher Inesquecível;1940;8.0; 132,913
A Vida de Brian;1979;8.0; 386,892
Amor à Flor da Pele;2000;8.0; 140,753
Hotel Ruanda;2004;8.0; 347,028
O Bandido;1996;8.0; 68,710
Rush: No Limite da Emoção;2013;8.0; 460,125
Rocky: Um Lutador;1976;8.0; 549,028
Amores Brutos;2000;8.0; 234,540
Na Natureza Selvagem;2007;8.0; 602,786
Nausicaä do Vale do Vento;1984;8.0; 163,050
Aconteceu Naquela Noite;1934;8.0; 100,355
Antes do Pôr-do-Sol;2004;8.0; 252,081
Fanny e Alexander;1982;8.0; 62,184
Neon Genesis Evangelion: O Fim do Evangelho;1997;8.0; 49,456
Andrei Rublev;1966;8.0; 51,863
A Batalha de Argel;1966;8.0; 57,845
Noites de Cabíria;1957;8.0; 47,166
A Princesa Prometida;1987;8.0; 415,413
Drishyam 2;2021;8.0; 33,189
Demon Slayer - Mugen Train: O Filme;2020;8.0; 42,636
